Common_Code,Diagnosis
Q703,Webbed toes
Q704,"Polysyndactyly, unspecified"
Q709,"Syndactyly, unspecified"
Q710,Congenital complete absence of upper limb
Q711,Congenital absence of upper arm and forearm with hand present
Q712,Congenital absence of both forearm and hand
Q713,Congenital absence of hand and finger
Q714,Longitudinal reduction defect of radius
Q715,Longitudinal reduction defect of ulna
Q716,Lobster-claw hand
Q719,Unspecified reduction defect of upper limb
Q720,Congenital complete absence of lower limb
Q721,Congenital absence of thigh and lower leg with foot present
Q722,Congenital absence of both lower leg and foot
Q723,Congenital absence of foot and toe(s)
Q724,Longitudinal reduction defect of femur
Q725,Longitudinal reduction defect of tibia
Q726,Longitudinal reduction defect of fibula
Q727,Split foot
Q729,Unspecified reduction defect of lower limb
Q73,Reduction defects of unspecified limb
Q74,Other congenital malformations of limb(s)
Q75,Other congenital malformations of skull and face bones
Q76,Congenital malformations of spine and bony thorax
Q765,Cervical rib
Q766,Other congenital malformations of ribs
Q767,Congenital malformation of sternum
Q768,Other congenital malformations of bony thorax
Q769,"Congenital malformation of bony thorax, unspecified"
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78,Other osteochondrodysplasias
Q79,"Congenital malformations of musculoskeletal system, not elsewhere classified"
Q795,Other congenital malformations of abdominal wall
Q796,Ehlers-Danlos syndrome
Q798,Other congenital malformations of musculoskeletal system
Q799,"Congenital malformation of musculoskeletal system, unspecified"
Q80,Congenital ichthyosis
Q81,Epidermolysis bullosa
Q82,Other congenital malformations of skin
Q83,Congenital malformations of breast
Q84,Other congenital malformations of integument
Q850,Neurofibromatosis (nonmalignant)
Q851,Tuberous sclerosis
Q858,"Other phakomatoses, not elsewhere classified"
Q859,"Phakomatosis, unspecified"
Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
Q87,Other specified congenital malformation syndromes affecting multiple systems
Q874,Marfan's syndrome
Q875,Other congenital malformation syndromes with other skeletal changes
Q878,"Other specified congenital malformation syndromes, not elsewhere classified"
Q890,Congenital absence and malformations of spleen
Q891,Congenital malformations of adrenal gland
Q892,Congenital malformations of other endocrine glands
Q893,Situs inversus
Q894,Conjoined twins
Q897,"Multiple congenital malformations, not elsewhere classified"
Q898,Other specified congenital malformations
Q899,"Congenital malformation, unspecified"
Q90,Down syndrome
Q91,Trisomy 18 and Trisomy 13
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
Q926,Marker chromosomes
Q927,Triploidy and polyploidy
Q928,Other specified trisomies and partial trisomies of autosomes
Q929,"Trisomy and partial trisomy of autosomes, unspecified"
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
Q938,Other deletions from the autosomes
Q939,"Deletion from autosomes, unspecified"
Q95,"Balanced rearrangements and structural markers, not elsewhere classified"
Q96,Turner's syndrome
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
Q99,"Other chromosome abnormalities, not elsewhere classified"
R00,Abnormalities of heart beat
R01,Cardiac murmurs and other cardiac sounds
R03,"Abnormal blood-pressure reading, without diagnosis"
R04,Hemorrhage from respiratory passages
R048,Hemorrhage from other sites in respiratory passages
R049,"Hemorrhage from respiratory passages, unspecified"
R05,Cough
R060,Dyspnea
R061,Stridor
R062,Wheezing
R063,Periodic breathing
R064,Hyperventilation
R065,Mouth breathing
R066,Hiccough
R067,Sneezing
R068,Other abnormalities of breathing
R069,Unspecified abnormalities of breathing
R07,Pain in throat and chest
R078,Other chest pain
R079,"Chest pain, unspecified"
R090,Asphyxia and hypoxemia
R091,Pleurisy
R092,Respiratory arrest
R093,Abnormal sputum
R098,Other specified symptoms and signs involving the circulatory and respiratory systems
R10,Abdominal and pelvic pain
R101,Pain localized to upper abdomen
R102,Pelvic and perineal pain
R103,Pain localized to other parts of lower abdomen
R109,Unspecified abdominal pain
R11,Nausea and vomiting
R111,Vomiting
R112,"Nausea with vomiting, unspecified"
R12,Heartburn
R13,Aphagia and dysphagia
R131,Dysphagia
R14,Flatulence and related conditions
R15,Fecal incontinence
R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
R17,Unspecified jaundice
R18,Ascites
R190,"Intra-abdominal and pelvic swelling, mass and lump"
R191,Abnormal bowel sounds
R192,Visible peristalsis
R193,Abdominal rigidity
R194,Change in bowel habit
R195,Other fecal abnormalities
R196,Halitosis
R197,"Diarrhea, unspecified"
R198,Other specified symptoms and signs involving the digestive system and abdomen
R20,Disturbances of skin sensation
R21,Rash and other nonspecific skin eruption
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
R223,"Localized swelling, mass and lump, upper limb"
R224,"Localized swelling, mass and lump, lower limb"
R229,"Localized swelling, mass and lump, unspecified"
R23,Other skin changes
R25,Abnormal involuntary movements
R26,Abnormalities of gait and mobility
R268,Other abnormalities of gait and mobility
R269,Unspecified abnormalities of gait and mobility
R27,Other lack of coordination
R29,Other symptoms and signs involving the nervous and musculoskeletal systems
R299,Unspecified symptoms and signs involving the nervous and musculoskeletal systems
R30,Pain associated with micturition
R31,Hematuria
R312,Other microscopic hematuria
R319,"Hematuria, unspecified"
R32,Unspecified urinary incontinence
R33,Retention of urine
R34,Anuria and oliguria
R35,Polyuria
R36,Urethral discharge
R37,"Sexual dysfunction, unspecified"
R39,Other and unspecified symptoms and signs involving the genitourinary system
R391,Other difficulties with micturition
R392,Extrarenal uremia
R398,Other symptoms and signs involving the genitourinary system
R399,Unspecified symptoms and signs involving the genitourinary system
R40,"Somnolence, stupor and coma"
R402,Coma
R403,Persistent vegetative state
R404,Transient alteration of awareness
R41,Other symptoms and signs involving cognitive functions and awareness
R418,Other symptoms and signs involving cognitive functions and awareness
R419,Unspecified symptoms and signs involving cognitive functions and awareness
R42,Dizziness and giddiness
R43,Disturbances of smell and taste
R44,Other symptoms and signs involving general sensations and perceptions
R45,Symptoms and signs involving emotional state
R458,Other symptoms and signs involving emotional state
R46,Symptoms and signs involving appearance and behavior
R468,Other symptoms and signs involving appearance and behavior
R470,Dysphasia and aphasia
R471,Dysarthria and anarthria
R478,Other speech disturbances
R479,Unspecified speech disturbances
R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
R49,Voice and resonance disorders
R492,Hypernasality and hyponasality
R498,Other voice and resonance disorders
R499,Unspecified voice and resonance disorder
R50,Fever of other and unknown origin
R508,Other specified fever
R509,"Fever, unspecified"
R51,Headache
R52,"Pain, unspecified"
R53,Malaise and fatigue
R538,Other malaise and fatigue
R54,Age-related physical debility
R55,Syncope and collapse
R560,Febrile convulsions
R561,Post traumatic seizures
R569,Unspecified convulsions
R57,"Shock, not elsewhere classified"
R58,"Hemorrhage, not elsewhere classified"
R59,Enlarged lymph nodes
R60,"Edema, not elsewhere classified"
R61,Generalized hyperhidrosis
R62,Lack of expected normal physiological development in childhood and adults
R625,Other and unspecified lack of expected normal physiological development in childhood
R627,Adult failure to thrive
R63,Symptoms and signs concerning food and fluid intake
R64,Cachexia
R651,Systemic inflammatory response syndrome (SIRS) of non-infectious origin
R652,Severe sepsis
R68,Other general symptoms and signs
R681,Nonspecific symptoms peculiar to infancy
R682,"Dry mouth, unspecified"
R683,Clubbing of fingers
R688,Other general symptoms and signs
R69,"Illness, unspecified"
R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R71,Abnormality of red blood cells
R730,Abnormal glucose
R739,"Hyperglycemia, unspecified"
R74,Abnormal serum enzyme levels
R75,Inconclusive laboratory evidence of human immunodeficiency virus [HIV]
R76,Other abnormal immunological findings in serum
R761,Nonspecific reaction to test for tuberculosis
R768,Other specified abnormal immunological findings in serum
R769,"Abnormal immunological finding in serum, unspecified"
R77,Other abnormalities of plasma proteins
R78,"Findings of drugs and other substances, not normally found in blood"
R787,Finding of abnormal level of heavy metals in blood
R788,"Finding of other specified substances, not normally found in blood"
R789,"Finding of unspecified substance, not normally found in blood"
R79,Other abnormal findings of blood chemistry
R798,Other specified abnormal findings of blood chemistry
R799,"Abnormal finding of blood chemistry, unspecified"
R80,Proteinuria
R81,Glycosuria
R82,Other and unspecified abnormal findings in urine
R827,Abnormal findings on microbiological examination of urine
R828,Abnormal findings on cytological and histological examination of urine
R829,Other and unspecified abnormal findings in urine
R83,Abnormal findings in cerebrospinal fluid
R84,Abnormal findings in specimens from respiratory organs and thorax
R85,Abnormal findings in specimens from digestive organs and abdominal cavity
R857,Abnormal histological findings in specimens from digestive organs and abdominal cavity
R858,Other abnormal findings in specimens from digestive organs and abdominal cavity
R859,Unspecified abnormal finding in specimens from digestive organs and abdominal cavity
R86,Abnormal findings in specimens from male genital organs
R87,Abnormal findings in specimens from female genital organs
R877,Abnormal histological findings in specimens from female genital organs
R879,Unspecified abnormal finding in specimens from female genital organs
R88,Abnormal findings in other body fluids and substances
R89,"Abnormal findings in specimens from other organs, systems and tissues"
R90,Abnormal findings on diagnostic imaging of central nervous system
R908,Other abnormal findings on diagnostic imaging of central nervous system
R91,Abnormal findings on diagnostic imaging of lung
R92,Abnormal and inconclusive findings on diagnostic imaging of breast
R93,Abnormal findings on diagnostic imaging of other body structures
R934,Abnormal findings on diagnostic imaging of urinary organs
R935,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
R936,Abnormal findings on diagnostic imaging of limbs
R937,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system
R938,Abnormal findings on diagnostic imaging of other specified body structures
R939,Diagnostic imaging inconclusive due to excess body fat of patient
R940,Abnormal results of function studies of central nervous system
R942,Abnormal results of pulmonary function studies
R943,Abnormal results of cardiovascular function studies
R944,Abnormal results of kidney function studies
R945,Abnormal results of liver function studies
R946,Abnormal results of thyroid function studies
R947,Abnormal results of other endocrine function studies
R948,Abnormal results of function studies of other organs and systems
R97,Abnormal tumor markers
R972,Elevated prostate specific antigen [PSA]
R978,Other abnormal tumor markers
R99,Ill-defined and unknown cause of mortality
S020,Fracture of vault of skull
S022,Fracture of nasal bones
S025,Fracture of tooth (traumatic)
S031,Dislocation of septal cartilage of nose
S032,Dislocation of tooth
S038,Sprain of joints and ligaments of other parts of head
S039,Sprain of joints and ligaments of unspecified parts of head
S049,Injury of unspecified cranial nerve
S070,Crushing injury of face
S071,Crushing injury of skull
S078,Crushing injury of other parts of head
S079,"Crushing injury of head, part unspecified"
S080,Avulsion of scalp
S090,"Injury of blood vessels of head, not elsewhere classified"
S098,Other specified injuries of head
S100,Contusion of throat
S128,Fracture of other parts of neck
S129,"Fracture of neck, unspecified"
S130,Traumatic rupture of cervical intervertebral disc
S134,Sprain of ligaments of cervical spine
S135,Sprain of thyroid region
S138,Sprain of joints and ligaments of other parts of neck
S139,Sprain of joints and ligaments of unspecified parts of neck
S140,Concussion and edema of cervical spinal cord
S142,Injury of nerve root of cervical spine
S143,Injury of brachial plexus
S144,Injury of peripheral nerves of neck
S145,Injury of cervical sympathetic nerves
S148,Injury of other specified nerves of neck
S149,Injury of unspecified nerves of neck
S158,Injury of other specified blood vessels at neck level
S159,Injury of unspecified blood vessel at neck level
S161,"Strain of muscle, fascia and tendon at neck level"
S162,"Laceration of muscle, fascia and tendon at neck level"
S168,"Other specified injury of muscle, fascia and tendon at neck level"
S169,"Unspecified injury of muscle, fascia and tendon at neck level"
S170,Crushing injury of larynx and trachea
S178,Crushing injury of other specified parts of neck
S179,"Crushing injury of neck, part unspecified"
S199,Unspecified injury of neck
S225,Flail chest
S229,"Fracture of bony thorax, part unspecified"
S230,Traumatic rupture of thoracic intervertebral disc
S233,Sprain of ligaments of thoracic spine
S238,Sprain of other specified parts of thorax
S239,Sprain of unspecified parts of thorax
S240,Concussion and edema of thoracic spinal cord
S242,Injury of nerve root of thoracic spine
S243,Injury of peripheral nerves of thorax
S244,Injury of thoracic sympathetic nervous system
S248,Injury of other specified nerves of thorax
S249,Injury of unspecified nerve of thorax
S270,Traumatic pneumothorax
S271,Traumatic hemothorax
S272,Traumatic hemopneumothorax
S279,Injury of unspecified intrathoracic organ
S280,Crushed chest
S281,"Traumatic amputation (partial) of part of thorax, except breast"
S298,Other specified injuries of thorax
S299,Unspecified injury of thorax
S300,Contusion of lower back and pelvis
S301,Contusion of abdominal wall
S303,Contusion of anus
S322,Fracture of coccyx
S329,Fracture of unspecified parts of lumbosacral spine and pelvis
S330,Traumatic rupture of lumbar intervertebral disc
S332,Dislocation of sacroiliac and sacrococcygeal joint
S334,Traumatic rupture of symphysis pubis
S335,Sprain of ligaments of lumbar spine
S336,Sprain of sacroiliac joint
S338,Sprain of other parts of lumbar spine and pelvis
S339,Sprain of unspecified parts of lumbar spine and pelvis
S343,Injury of cauda equina
S344,Injury of lumbosacral plexus
S345,"Injury of lumbar, sacral and pelvic sympathetic nerves"
S346,"Injury of peripheral nerve(s) at abdomen, lower back and pelvis level"
S348,"Injury of other nerves at abdomen, lower back and pelvis level"
S349,"Injury of unspecified nerves at abdomen, lower back and pelvis level"
S381,"Crushing injury of abdomen, lower back, and pelvis"
S383,Transection (partial) of abdomen
S471,Crushing injury of right shoulder and upper arm
S472,Crushing injury of left shoulder and upper arm
S479,"Crushing injury of shoulder and upper arm, unspecified arm"
T07,Unspecified multiple injuries
T148,Other injury of unspecified body region
T161,Foreign body in right ear
T162,Foreign body in left ear
T169,"Foreign body in ear, unspecified ear"
T170,Foreign body in nasal sinus
T171,Foreign body in nostril
T180,Foreign body in mouth
T182,Foreign body in stomach
T183,Foreign body in small intestine
T184,Foreign body in colon
T185,Foreign body in anus and rectum
T188,Foreign body in other parts of alimentary tract
T189,"Foreign body of alimentary tract, part unspecified"
T190,Foreign body in urethra
T191,Foreign body in bladder
T192,Foreign body in vulva and vagina
T193,Foreign body in uterus
T194,Foreign body in penis
T198,Foreign body in other parts of genitourinary tract
T199,"Foreign body in genitourinary tract, part unspecified"
T270,Burn of larynx and trachea
T271,Burn involving larynx and trachea with lung
T272,Burn of other parts of respiratory tract
T273,"Burn of respiratory tract, part unspecified"
T274,Corrosion of larynx and trachea
T275,Corrosion involving larynx and trachea with lung
T276,Corrosion of other parts of respiratory tract
T277,"Corrosion of respiratory tract, part unspecified"
T280,Burn of mouth and pharynx
T281,Burn of esophagus
T282,Burn of other parts of alimentary tract
T283,Burn of internal genitourinary organs
T285,Corrosion of mouth and pharynx
T286,Corrosion of esophagus
T287,Corrosion of other parts of alimentary tract
T288,Corrosion of internal genitourinary organs
T30,"Burn and corrosion, body region unspecified"
T31,Burns classified according to extent of body surface involved
T311,Burns involving 10-19% of body surface
T312,Burns involving 20-29% of body surface
T313,Burns involving 30-39% of body surface
T314,Burns involving 40-49% of body surface
T315,Burns involving 50-59% of body surface
T316,Burns involving 60-69% of body surface
T317,Burns involving 70-79% of body surface
T318,Burns involving 80-89% of body surface
T319,Burns involving 90% or more of body surface
T32,Corrosions classified according to extent of body surface involved
T321,Corrosions involving 10-19% of body surface
T322,Corrosions involving 20-29% of body surface
T323,Corrosions involving 30-39% of body surface
T324,Corrosions involving 40-49% of body surface
T325,Corrosions involving 50-59% of body surface
T326,Corrosions involving 60-69% of body surface
T327,Corrosions involving 70-79% of body surface
T328,Corrosions involving 80-89% of body surface
T329,Corrosions involving 90% or more of body surface
T331,Superficial frostbite of neck
T332,Superficial frostbite of thorax
T333,"Superficial frostbite of abdominal wall, lower back and pelvis"
T341,Frostbite with tissue necrosis of neck
T342,Frostbite with tissue necrosis of thorax
T343,"Frostbite with tissue necrosis of abdominal wall, lower back and pelvis"
T66,"Radiation sickness, unspecified"
T670,Heatstroke and sunstroke
T671,Heat syncope
T672,Heat cramp
T673,"Heat exhaustion, anhydrotic"
T674,Heat exhaustion due to salt depletion
T675,"Heat exhaustion, unspecified"
T676,"Heat fatigue, transient"
T677,Heat edema
T678,Other effects of heat and light
T679,"Effect of heat and light, unspecified"
T68,Hypothermia
T691,Chilblains
T698,Other specified effects of reduced temperature
T699,"Effect of reduced temperature, unspecified"
T700,Otitic barotrauma
T701,Sinus barotrauma
T703,Caisson disease [decompression sickness]
T704,Effects of high-pressure fluids
T708,Other effects of air pressure and water pressure
T709,"Effect of air pressure and water pressure, unspecified"
T719,Asphyxiation due to unspecified cause
T730,Starvation
T731,Deprivation of water
T732,Exhaustion due to exposure
T733,Exhaustion due to excessive exertion
T738,Other effects of deprivation
T739,"Effect of deprivation, unspecified"
T744,Shaken infant syndrome
T751,Unspecified effects of drowning and nonfatal submersion
T753,Motion sickness
T754,Electrocution
T781,"Other adverse food reactions, not elsewhere classified"
T782,"Anaphylactic shock, unspecified"
T783,Angioneurotic edema
T788,"Other adverse effects, not elsewhere classified"
T790,Air embolism (traumatic)
T791,Fat embolism (traumatic)
T792,Traumatic secondary and recurrent hemorrhage and seroma
T794,Traumatic shock
T795,Traumatic anuria
T796,Traumatic ischemia of muscle
T797,Traumatic subcutaneous emphysema
T798,Other early complications of trauma
T799,Unspecified early complication of trauma
T800,"Air embolism following infusion, transfusion and therapeutic injection"
T801,"Vascular complications following infusion, transfusion and therapeutic injection"
T814,Infection following a procedure
T819,Unspecified complication of procedure
T826,Infection and inflammatory reaction due to cardiac valve prosthesis
T827,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
T829,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft"
T839,"Unspecified complication of genitourinary prosthetic device, implant and graft"
T847,"Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts"
T849,"Unspecified complication of internal orthopedic prosthetic device, implant and graft"
T859,"Unspecified complication of internal prosthetic device, implant and graft"
T860,Complications of bone marrow transplant
T861,Complications of kidney transplant
T862,Complications of heart transplant
T863,Complications of heart-lung transplant
T864,Complications of liver transplant
T865,Complications of stem cell transplant
T869,Complication of unspecified transplanted organ and tissue
T872,Complications of other reattached body part
T873,Neuroma of amputation stump
T874,Infection of amputation stump
T875,Necrosis of amputation stump
T878,Other complications of amputation stump
T879,Unspecified complications of amputation stump
T880,Infection following immunization
T881,"Other complications following immunization, not elsewhere classified"
T882,Shock due to anesthesia
T883,Malignant hyperthermia due to anesthesia
T884,Failed or difficult intubation
T886,Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered
T887,Unspecified adverse effect of drug or medicament
T888,"Other specified complications of surgical and medical care, not elsewhere classified"
T889,"Complication of surgical and medical care, unspecified"
V091,Pedestrian injured in unspecified nontraffic accident
V093,Pedestrian injured in unspecified traffic accident
V099,Pedestrian injured in unspecified transport accident
V100,Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident
V101,Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident
V102,Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident
V103,Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal
V104,Pedal cycle driver injured in collision with pedestrian or animal in traffic accident
V105,Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident
V109,Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident
V110,Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident
V111,Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident
V112,Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident
V113,Person boarding or alighting a pedal cycle injured in collision with other pedal cycle
V114,Pedal cycle driver injured in collision with other pedal cycle in traffic accident
V115,Pedal cycle passenger injured in collision with other pedal cycle in traffic accident
V119,Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident
V120,Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V121,Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V122,Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V123,Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle
V124,Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
V125,Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident
V129,Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident
V130,"Pedal cycle driver injured in collision with car, pick-up truck or van in nontraffic accident"
V131,"Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident"
V132,"Unspecified pedal cyclist injured in collision with car, pick-up truck or van in nontraffic accident"
V133,"Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van"
V134,"Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident"
V135,"Pedal cycle passenger injured in collision with car, pick-up truck or van in traffic accident"
V139,"Unspecified pedal cyclist injured in collision with car, pick-up truck or van in traffic accident"
V140,Pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident
V141,Pedal cycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident
V142,Unspecified pedal cyclist injured in collision with heavy transport vehicle or bus in nontraffic accident
V143,Person boarding or alighting a pedal cycle injured in collision with heavy transport vehicle or bus
V144,Pedal cycle driver injured in collision with heavy transport vehicle or bus in traffic accident
V145,Pedal cycle passenger injured in collision with heavy transport vehicle or bus in traffic accident
V149,Unspecified pedal cyclist injured in collision with heavy transport vehicle or bus in traffic accident
V150,Pedal cycle driver injured in collision with railway train or railway vehicle in nontraffic accident
V151,Pedal cycle passenger injured in collision with railway train or railway vehicle in nontraffic accident
V152,Unspecified pedal cyclist injured in collision with railway train or railway vehicle in nontraffic accident
V153,Person boarding or alighting a pedal cycle injured in collision with railway train or railway vehicle
V154,Pedal cycle driver injured in collision with railway train or railway vehicle in traffic accident
V155,Pedal cycle passenger injured in collision with railway train or railway vehicle in traffic accident
V159,Unspecified pedal cyclist injured in collision with railway train or railway vehicle in traffic accident
V160,Pedal cycle driver injured in collision with other nonmotor vehicle in nontraffic accident
V161,Pedal cycle passenger injured in collision with other nonmotor vehicle in nontraffic accident
V162,Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident
V163,Person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident
V164,Pedal cycle driver injured in collision with other nonmotor vehicle in traffic accident
V165,Pedal cycle passenger injured in collision with other nonmotor vehicle in traffic accident
V169,Unspecified pedal cyclist injured in collision with other nonmotor vehicle in traffic accident
V170,Pedal cycle driver injured in collision with fixed or stationary object in nontraffic accident
V171,Pedal cycle passenger injured in collision with fixed or stationary object in nontraffic accident
V172,Unspecified pedal cyclist injured in collision with fixed or stationary object in nontraffic accident
V173,Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object
V174,Pedal cycle driver injured in collision with fixed or stationary object in traffic accident
V175,Pedal cycle passenger injured in collision with fixed or stationary object in traffic accident
V179,Unspecified pedal cyclist injured in collision with fixed or stationary object in traffic accident
V180,Pedal cycle driver injured in noncollision transport accident in nontraffic accident
V181,Pedal cycle passenger injured in noncollision transport accident in nontraffic accident
V182,Unspecified pedal cyclist injured in noncollision transport accident in nontraffic accident
V183,Person boarding or alighting a pedal cycle injured in noncollision transport accident
V184,Pedal cycle driver injured in noncollision transport accident in traffic accident
V185,Pedal cycle passenger injured in noncollision transport accident in traffic accident
V189,Unspecified pedal cyclist injured in noncollision transport accident in traffic accident
V193,Pedal cyclist (driver) (passenger) injured in unspecified nontraffic accident
V199,Pedal cyclist (driver) (passenger) injured in unspecified traffic accident
V200,Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident
V201,Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident
V202,Unspecified motorcycle rider injured in collision with pedestrian or animal in nontraffic accident
V203,Person boarding or alighting a motorcycle injured in collision with pedestrian or animal
V204,Motorcycle driver injured in collision with pedestrian or animal in traffic accident
V205,Motorcycle passenger injured in collision with pedestrian or animal in traffic accident
V209,Unspecified motorcycle rider injured in collision with pedestrian or animal in traffic accident
V210,Motorcycle driver injured in collision with pedal cycle in nontraffic accident
V211,Motorcycle passenger injured in collision with pedal cycle in nontraffic accident
V212,Unspecified motorcycle rider injured in collision with pedal cycle in nontraffic accident
V213,Person boarding or alighting a motorcycle injured in collision with pedal cycle
V214,Motorcycle driver injured in collision with pedal cycle in traffic accident
V215,Motorcycle passenger injured in collision with pedal cycle in traffic accident
V219,Unspecified motorcycle rider injured in collision with pedal cycle in traffic accident
V220,Motorcycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V221,Motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V222,Unspecified motorcycle rider injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V223,Person boarding or alighting a motorcycle injured in collision with two- or three-wheeled motor vehicle
V224,Motorcycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
V225,Motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident
V229,Unspecified motorcycle rider injured in collision with two- or three-wheeled motor vehicle in traffic accident
V230,"Motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident"
V231,"Motorcycle passenger injured in collision with car, pick-up truck or van in nontraffic accident"
V232,"Unspecified motorcycle rider injured in collision with car, pick-up truck or van in nontraffic accident"
V233,"Person boarding or alighting a motorcycle injured in collision with car, pick-up truck or van"
V234,"Motorcycle driver injured in collision with car, pick-up truck or van in traffic accident"
V235,"Motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident"
V239,"Unspecified motorcycle rider injured in collision with car, pick-up truck or van in traffic accident"
V240,Motorcycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident
V241,Motorcycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident
V242,Unspecified motorcycle rider injured in collision with heavy transport vehicle or bus in nontraffic accident
V243,Person boarding or alighting a motorcycle injured in collision with heavy transport vehicle or bus
V244,Motorcycle driver injured in collision with heavy transport vehicle or bus in traffic accident
V245,Motorcycle passenger injured in collision with heavy transport vehicle or bus in traffic accident
V249,Unspecified motorcycle rider injured in collision with heavy transport vehicle or bus in traffic accident
V250,Motorcycle driver injured in collision with railway train or railway vehicle in nontraffic accident
V251,Motorcycle passenger injured in collision with railway train or railway vehicle in nontraffic accident
V252,Unspecified motorcycle rider injured in collision with railway train or railway vehicle in nontraffic accident
V253,Person boarding or alighting a motorcycle injured in collision with railway train or railway vehicle
V254,Motorcycle driver injured in collision with railway train or railway vehicle in traffic accident
V255,Motorcycle passenger injured in collision with railway train or railway vehicle in traffic accident
V259,Unspecified motorcycle rider injured in collision with railway train or railway vehicle in traffic accident
V260,Motorcycle driver injured in collision with other nonmotor vehicle in nontraffic accident
V261,Motorcycle passenger injured in collision with other nonmotor vehicle in nontraffic accident
V262,Unspecified motorcycle rider injured in collision with other nonmotor vehicle in nontraffic accident
V263,Person boarding or alighting a motorcycle injured in collision with other nonmotor vehicle
V264,Motorcycle driver injured in collision with other nonmotor vehicle in traffic accident
V265,Motorcycle passenger injured in collision with other nonmotor vehicle in traffic accident
V269,Unspecified motorcycle rider injured in collision with other nonmotor vehicle in traffic accident
V270,Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident
V271,Motorcycle passenger injured in collision with fixed or stationary object in nontraffic accident
V272,Unspecified motorcycle rider injured in collision with fixed or stationary object in nontraffic accident
V273,Person boarding or alighting a motorcycle injured in collision with fixed or stationary object
V274,Motorcycle driver injured in collision with fixed or stationary object in traffic accident
V275,Motorcycle passenger injured in collision with fixed or stationary object in traffic accident
V279,Unspecified motorcycle rider injured in collision with fixed or stationary object in traffic accident
V280,Motorcycle driver injured in noncollision transport accident in nontraffic accident
V281,Motorcycle passenger injured in noncollision transport accident in nontraffic accident
V282,Unspecified motorcycle rider injured in noncollision transport accident in nontraffic accident
V283,Person boarding or alighting a motorcycle injured in noncollision transport accident
V284,Motorcycle driver injured in noncollision transport accident in traffic accident
V285,Motorcycle passenger injured in noncollision transport accident in traffic accident
V289,Unspecified motorcycle rider injured in noncollision transport accident in traffic accident
V293,Motorcycle rider (driver) (passenger) injured in unspecified nontraffic accident
V299,Motorcycle rider (driver) (passenger) injured in unspecified traffic accident
